nm lambda,1,2,3,4,5,6,7,8
407.363,0.067,0.088,0.108,0.139,0.141,0.113,0.202,0.169
407.534,0.067,0.088,0.108,0.139,0.141,0.113,0.201,0.169
407.706,0.067,0.088,0.108,0.139,0.141,0.112,0.202,0.169
407.877,0.066,0.088,0.107,0.139,0.14,0.112,0.201,0.168
408.048,0.066,0.088,0.107,0.139,0.14,0.112,0.201,0.168
408.22,0.066,0.088,0.107,0.139,0.14,0.112,0.201,0.168
408.391,0.066,0.088,0.107,0.138,0.139,0.112,0.201,0.168
408.563,0.065,0.088,0.106,0.138,0.139,0.111,0.201,0.168
408.734,0.065,0.087,0.105,0.137,0.138,0.111,0.2,0.167
408.906,0.064,0.087,0.105,0.137,0.138,0.111,0.199,0.167
409.077,0.065,0.087,0.104,0.137,0.137,0.111,0.199,0.167
409.249,0.064,0.088,0.104,0.137,0.137,0.111,0.198,0.167
409.42,0.064,0.088,0.104,0.137,0.137,0.111,0.197,0.167
409.592,0.064,0.088,0.104,0.137,0.136,0.11,0.197,0.166
409.763,0.064,0.087,0.104,0.137,0.136,0.11,0.196,0.166
409.935,0.064,0.087,0.104,0.136,0.136,0.11,0.195,0.166
410.106,0.064,0.087,0.104,0.136,0.136,0.109,0.195,0.166
410.278,0.064,0.086,0.103,0.136,0.135,0.109,0.195,0.165
410.449,0.064,0.086,0.103,0.135,0.135,0.109,0.194,0.165
410.621,0.063,0.086,0.102,0.135,0.134,0.109,0.193,0.165
410.792,0.063,0.086,0.102,0.135,0.134,0.108,0.192,0.164
410.964,0.063,0.085,0.101,0.134,0.133,0.108,0.191,0.163
411.135,0.063,0.085,0.101,0.133,0.132,0.107,0.19,0.162
411.307,0.063,0.085,0.1,0.132,0.131,0.107,0.189,0.162
411.479,0.062,0.085,0.1,0.131,0.131,0.106,0.189,0.161
411.65,0.062,0.084,0.099,0.13,0.13,0.106,0.188,0.16
411.822,0.062,0.084,0.099,0.13,0.129,0.105,0.187,0.159
411.993,0.061,0.084,0.098,0.129,0.128,0.104,0.186,0.158
412.165,0.061,0.083,0.098,0.129,0.127,0.104,0.185,0.158
412.336,0.061,0.083,0.098,0.128,0.127,0.103,0.185,0.156
412.508,0.06,0.082,0.097,0.127,0.126,0.102,0.184,0.156
412.679,0.059,0.081,0.096,0.126,0.124,0.101,0.182,0.155
412.851,0.059,0.08,0.095,0.125,0.123,0.1,0.181,0.154
413.022,0.058,0.08,0.095,0.124,0.123,0.1,0.18,0.153
413.194,0.058,0.08,0.095,0.124,0.122,0.1,0.179,0.153
413.365,0.058,0.08,0.094,0.123,0.121,0.099,0.178,0.151
413.537,0.057,0.079,0.093,0.122,0.121,0.098,0.177,0.151
413.708,0.057,0.078,0.092,0.121,0.12,0.097,0.175,0.149
413.88,0.056,0.078,0.091,0.12,0.119,0.096,0.174,0.148
414.051,0.056,0.077,0.09,0.119,0.118,0.095,0.172,0.147
414.223,0.055,0.077,0.09,0.119,0.117,0.094,0.17,0.146
414.394,0.055,0.077,0.089,0.118,0.117,0.094,0.169,0.146
414.566,0.055,0.077,0.088,0.117,0.116,0.093,0.167,0.144
414.737,0.055,0.076,0.087,0.116,0.116,0.093,0.166,0.143
