nm lambda,1,2,3,4,5,6,7,8
421.256,0.098,0.104,0.063,0.069,0.074,0.053,0.053,0.034
421.428,0.098,0.102,0.062,0.068,0.073,0.051,0.053,0.033
421.599,0.098,0.101,0.062,0.067,0.071,0.051,0.053,0.032
421.771,0.098,0.1,0.061,0.066,0.071,0.049,0.053,0.032
421.943,0.097,0.099,0.061,0.065,0.069,0.049,0.052,0.031
422.114,0.097,0.098,0.062,0.064,0.068,0.048,0.052,0.03
422.286,0.096,0.097,0.062,0.063,0.067,0.047,0.052,0.029
422.457,0.097,0.097,0.062,0.063,0.067,0.048,0.052,0.029
422.629,0.097,0.096,0.063,0.063,0.066,0.047,0.052,0.029
422.8,0.096,0.095,0.063,0.063,0.065,0.046,0.053,0.028
422.972,0.096,0.096,0.063,0.064,0.065,0.046,0.053,0.027
423.144,0.095,0.096,0.064,0.064,0.063,0.046,0.053,0.027
423.315,0.096,0.095,0.064,0.064,0.061,0.045,0.053,0.026
423.487,0.097,0.096,0.065,0.064,0.061,0.045,0.054,0.027
423.658,0.097,0.094,0.066,0.063,0.06,0.044,0.054,0.027
423.83,0.097,0.093,0.067,0.064,0.06,0.044,0.055,0.027
424.002,0.096,0.092,0.067,0.063,0.058,0.042,0.054,0.027
424.173,0.096,0.091,0.068,0.063,0.058,0.042,0.054,0.027
424.345,0.097,0.089,0.069,0.062,0.058,0.041,0.054,0.026
424.516,0.098,0.088,0.069,0.062,0.059,0.042,0.055,0.027
424.688,0.097,0.086,0.07,0.061,0.058,0.041,0.055,0.028
424.859,0.098,0.084,0.07,0.061,0.059,0.042,0.055,0.029
425.031,0.097,0.081,0.069,0.058,0.057,0.041,0.054,0.028
425.203,0.098,0.079,0.069,0.057,0.057,0.04,0.054,0.028
425.374,0.097,0.076,0.068,0.055,0.056,0.038,0.053,0.027
425.546,0.098,0.075,0.068,0.054,0.056,0.037,0.053,0.027
425.717,0.097,0.072,0.067,0.053,0.054,0.036,0.052,0.026
