nm lambda,1,2,3,4,5,6,7,8
413.194,1.13,0.957,0.912,0.838,0.879,0.529,0.453,0.186
413.365,1.13,0.958,0.912,0.837,0.879,0.529,0.453,0.186
413.537,1.131,0.957,0.913,0.837,0.879,0.528,0.453,0.186
413.708,1.133,0.956,0.912,0.837,0.878,0.528,0.453,0.186
413.88,1.138,0.958,0.913,0.838,0.878,0.527,0.453,0.186
414.051,1.139,0.956,0.911,0.838,0.877,0.526,0.452,0.186
414.223,1.142,0.958,0.912,0.839,0.879,0.527,0.452,0.186
414.394,1.141,0.956,0.91,0.838,0.877,0.526,0.452,0.186
414.566,1.145,0.956,0.91,0.838,0.877,0.526,0.452,0.187
414.737,1.145,0.955,0.909,0.838,0.876,0.526,0.452,0.187
414.909,1.143,0.953,0.908,0.838,0.875,0.527,0.451,0.187
415.08,1.142,0.952,0.907,0.837,0.874,0.527,0.451,0.186
415.252,1.141,0.951,0.906,0.837,0.875,0.528,0.451,0.186
415.424,1.136,0.949,0.902,0.837,0.874,0.527,0.45,0.185
415.595,1.133,0.949,0.902,0.836,0.871,0.528,0.449,0.185
415.767,1.132,0.948,0.901,0.836,0.87,0.528,0.449,0.184
415.938,1.133,0.947,0.901,0.836,0.87,0.529,0.449,0.185
416.11,1.13,0.945,0.897,0.833,0.866,0.529,0.449,0.184
416.281,1.132,0.947,0.896,0.831,0.865,0.529,0.449,0.183
416.453,1.131,0.945,0.893,0.828,0.862,0.529,0.449,0.183
416.624,1.128,0.944,0.894,0.826,0.861,0.528,0.449,0.182
416.796,1.124,0.943,0.892,0.823,0.858,0.527,0.448,0.182
416.967,1.123,0.943,0.891,0.821,0.857,0.526,0.449,0.182
417.139,1.125,0.943,0.891,0.82,0.856,0.526,0.45,0.182
417.31,1.122,0.94,0.888,0.816,0.854,0.524,0.449,0.181
417.482,1.128,0.944,0.893,0.817,0.855,0.524,0.451,0.181
417.654,1.13,0.943,0.892,0.816,0.855,0.523,0.451,0.181
417.825,1.135,0.944,0.894,0.816,0.857,0.523,0.452,0.18
417.997,1.138,0.946,0.896,0.815,0.858,0.523,0.453,0.18
418.168,1.139,0.943,0.896,0.814,0.858,0.522,0.453,0.18
418.34,1.141,0.943,0.898,0.814,0.858,0.523,0.454,0.181
418.511,1.149,0.943,0.901,0.814,0.859,0.523,0.454,0.181
418.683,1.155,0.944,0.904,0.817,0.863,0.524,0.455,0.182
418.854,1.16,0.945,0.905,0.82,0.863,0.524,0.454,0.181
419.026,1.164,0.946,0.905,0.821,0.864,0.524,0.454,0.181
419.198,1.164,0.948,0.906,0.821,0.864,0.523,0.453,0.181
419.369,1.169,0.95,0.908,0.825,0.868,0.525,0.453,0.181
419.541,1.164,0.944,0.906,0.825,0.866,0.524,0.452,0.181
419.712,1.169,0.946,0.909,0.828,0.868,0.524,0.452,0.182
419.884,1.165,0.942,0.905,0.827,0.864,0.523,0.451,0.182
420.055,1.165,0.945,0.901,0.827,0.864,0.523,0.45,0.182
420.227,1.165,0.946,0.9,0.828,0.863,0.522,0.449,0.181
420.398,1.169,0.949,0.904,0.831,0.865,0.523,0.448,0.181
