nm lambda,1,2,3,4,5,6,7,8,9,10,11,12
398.961,0.057,0.075,0.089,0.117,0.116,0.092,0.166,0.138,0.529,0.954,1.536,2.021
399.132,0.057,0.075,0.09,0.118,0.117,0.092,0.167,0.139,0.532,0.96,1.544,2.039
399.304,0.057,0.075,0.09,0.119,0.118,0.093,0.168,0.14,0.535,0.966,1.551,2.053
399.475,0.057,0.076,0.091,0.119,0.119,0.093,0.169,0.14,0.538,0.972,1.562,2.073
399.647,0.057,0.076,0.091,0.12,0.119,0.094,0.17,0.141,0.541,0.978,1.569,2.085
399.818,0.057,0.076,0.092,0.12,0.12,0.094,0.171,0.141,0.543,0.984,1.576,2.109
399.989,0.058,0.077,0.092,0.121,0.12,0.095,0.171,0.142,0.546,0.99,1.584,2.125
400.161,0.058,0.077,0.093,0.121,0.121,0.095,0.172,0.143,0.55,0.997,1.594,2.152
400.332,0.058,0.077,0.093,0.122,0.122,0.096,0.173,0.144,0.553,1.003,1.607,2.18
400.504,0.058,0.077,0.094,0.122,0.122,0.096,0.174,0.145,0.556,1.009,1.619,2.212
400.675,0.059,0.078,0.094,0.123,0.123,0.097,0.175,0.146,0.559,1.017,1.631,2.246
400.847,0.059,0.078,0.095,0.124,0.124,0.097,0.176,0.147,0.562,1.022,1.641,2.268
401.018,0.059,0.079,0.096,0.125,0.124,0.098,0.177,0.148,0.566,1.029,1.652,2.298
401.19,0.059,0.079,0.096,0.125,0.125,0.099,0.179,0.149,0.569,1.035,1.663,2.324
401.361,0.06,0.08,0.097,0.126,0.126,0.1,0.18,0.15,0.572,1.041,1.673,2.365
401.533,0.06,0.08,0.097,0.127,0.127,0.1,0.181,0.152,0.576,1.047,1.691,2.426
401.704,0.06,0.081,0.098,0.128,0.128,0.101,0.182,0.153,0.579,1.053,1.704,2.453
401.875,0.061,0.082,0.098,0.129,0.129,0.102,0.183,0.154,0.582,1.058,1.717,2.481
402.047,0.061,0.082,0.099,0.129,0.129,0.102,0.184,0.154,0.585,1.065,1.729,2.5
402.218,0.061,0.083,0.099,0.13,0.13,0.103,0.186,0.155,0.589,1.073,1.749,2.5
402.39,0.062,0.083,0.1,0.131,0.131,0.104,0.187,0.156,0.592,1.08,1.761,2.5
402.561,0.063,0.083,0.101,0.131,0.132,0.104,0.188,0.157,0.596,1.087,1.777,2.5
